brand_name,category,homepage_url,event_url,confidence,priority
LG전자,생활,https://www.lge.co.kr,https://www.lge.co.kr/benefits/exhibitions/detail-PE00717004,high,2차
SK매직,생활,https://www.skmagic.com,https://www.skmagic.com/event/indexEvent,high,2차
교원웰스,생활,https://www.kyowonwells.com,https://www.kyowonwells.com/Benefit/EventList,high,2차
뉴스킨,생활,https://www.nuskin.co.kr,https://www.nuskinkorea.co.kr/app/ch/contents?type=003&cate=20&menuIndex=1,high,2차
다이슨,생활,https://www.dyson.co.kr,https://www.dyson.co.kr/promotions/review,high,2차
락앤락,생활,https://www.locknlock.com,http://m.locknlockmall.com/promotion/plan_view?id=1283,high,2차
루헨스,생활,https://www.ruhens.co.kr,https://www.ruhens.co.kr/event/event_list.php,high,2차
린나이,생활,https://www.rinnai.co.kr,https://rinnai.co.kr/company/notice_view.asp?prm_media_type=A05&prm_board_num=44&page=1,high,2차
모던하우스,생활,https://www.modernhouse.co.kr,https://modernhouse.elandmall.co.kr/c/ctg?dispCategoryNo=1607007968,high,2차
몽디에스,생활,https://www.mongdies.com,https://www.mongdies.com/product/list_event.html?cate_no=124,high,2차
무인양품,생활,https://www.mujikorea.net,https://mujikorea.co.kr/plan/view/145,high,2차
발뮤다,생활,https://www.balmuda.co.kr,https://www.balmuda.co.kr/board/list.php?bdId=brandevent,high,2차
삼성전자 가전,생활,https://www.samsung.com/sec,https://www.samsung.com/sec/eventList/benefitzone/,high,2차
생활공작소,생활,https://saengong.com,https://saengong.com/dh/event.html,high,2차
스메그,생활,https://www.smegkorea.com,https://www.smegkorea.com/service/event_list.php,high,2차
시디즈,생활,https://www.sidiz.com,https://kr.sidiz.com/blogs/special-offers/202602,high,2차
에이스침대,생활,https://www.acebed.com,https://www.acebed.com/board/event/list.do,high,2차
위니아,생활,https://www.winia.com,https://www.winia.com/brand/event/eventInfo?SELECT_DIV=1,high,2차
유한킴벌리,생활,https://www.yuhan-kimberly.co.kr,https://www.yuhan-kimberly.co.kr/Newsroom/Event,high,2차
이케아,생활,https://www.ikea.com/kr,https://www.ikea.com/kr/ko/customer-service/payment-options/#86ebca40-6da0-11f0-8b4b-69eec113a274,high,2차
일룸,생활,https://www.iloom.com,https://www.iloom.com/eventNews/event_main.do,high,2차
주방세제 슈가버블,생활,https://sugarbubble.com,https://sugarbubble.com/board/%EA%B0%A4%EB%9F%AC%EB%A6%AC/8/,high,2차
지누스,생활,https://www.zinus.co.kr,https://www.zinus.co.kr/board/list.php?bdId=onevent&period=current,high,2차
캐리어에어컨,생활,https://www.carrier.co.kr,https://www.carrier.co.kr/buy/sales_main.asp,medium,2차
쿠첸,생활,https://www.cuchen.com,https://www.cuchenmall.co.kr/,medium,2차
킨도,생활,https://www.kindoh.co.kr,https://www.kindoh.co.kr/board/gallery/list.html?board_no=8,high,2차
테팔,생활,https://www.tefal.co.kr,https://www.tefal.co.kr/event,high,2차
템퍼,생활,https://www.tempur.com/kr,https://www.tempur.com/offers/,high,2차
